code,name,risk_source,amount
159008,证券ETF景顺,金融,10524032
159007,养殖ETF华泰柏瑞,消费,16423614
589990,科创综指ETF华泰柏瑞,科技成长,20021387
589980,科创100ETF汇添富,科技成长,4869371
589960,科创新能源ETF易方达,周期资源,53175293
589950,科创100ETF富国,科技成长,6128318
589900,科创综指ETF博时,科技成长,18559022
589890,科创综指ETF景顺,科技成长,20632845
589880,科创综指ETF建信,科技成长,24346092
589860,科创综指ETF天弘,科技成长,29879859
589820,科创200ETF建信,科技成长,9937591
589800,科创综指ETF易方达,科技成长,139074247
589780,科创200ETF富国,科技成长,3868384
589770,科创综指ETF招商,科技成长,27425283
589720,科创创新药ETF国泰,医药,163477984
589700,科创成长ETF南方,科技成长,6505076
589680,科创综指ETF鹏华,科技成长,174566537
589660,科创综指ETF南方,科技成长,52380630
589630,科创综指ETF国泰,科技成长,57134705
589600,科创综指ETF富国,科技成长,12127004
589580,科创综指ETF兴银,科技成长,759049
589560,科创人工智能ETF汇添富,科技成长,13170277
589550,科创价值ETF华夏,科技成长,5046598
589520,科创人工智能ETF华宝,科技成长,45793455
589500,科创综指ETF工银,科技成长,16290043
589380,科创AIETF富国,科技成长,9193836
589320,科创200ETF嘉实,科技成长,33163253
589300,科创综指ETF嘉实,科技成长,5446007
589270,科创100ETF前海开源,科技成长,4048251
589260,科创芯片设计ETF国泰,科技成长,19829899
589250,科创芯片设计ETF浦银,科技成长,11139204
589230,科创人工智能ETF南方,科技成长,50681285
589220,科创200ETF国泰,科技成长,40722133
589210,科创芯片设计ETF广发,科技成长,9246066
589200,科创200ETF工银,科技成长,2939170
589190,科创芯片ETF华宝,科技成长,117093868
589180,科创新材料ETF汇添富,周期资源,9663124
589170,科创芯片设计ETF鹏华,科技成长,8681759
589160,科创芯片ETF广发,科技成长,42605228
589130,科创芯片ETF易方达,科技成长,226438129
589120,科创创新药ETF汇添富,医药,39794964
589110,科创人工智能ETF国泰,科技成长,14324742
589100,科创芯片ETF国泰,科技成长,84776489
589090,科创AIETF鹏华,科技成长,9558905
589080,科创综指ETF汇添富,科技成长,24810373
589070,科创芯片设计ETF天弘,科技成长,105822559
589060,科创综指ETF东财,科技成长,4488706
589050,科创综指ETF兴业,科技成长,2210014
589030,科创芯片设计ETF易方达,科技成长,127354377
589020,科创半导体设备ETF鹏华,科技成长,261676833
589010,科创人工智能ETF华夏,科技成长,201110763
589000,科创综指ETF华夏,科技成长,158488175
588990,科创芯片ETF博时,科技成长,146363838
588980,科创100ETF广发,科技成长,2348808
588960,科创新能源ETF富国,周期资源,56073395
588930,科创人工智能ETF银华,科技成长,87797946
588920,科创芯片ETF鹏华,科技成长,55277758
588910,科创价值ETF建信,科技成长,22172921
588900,科创100ETF南方,科技成长,8507787
588890,科创芯片ETF南方,科技成长,206064859
588880,科创100ETF华泰柏瑞,科技成长,15272727
588860,科创医药ETF工银,医药,15408888
588850,科创机械ETF嘉实,科技成长,34212275
588830,科创新能源ETF鹏华,周期资源,131052676
588820,科创200ETF华夏,科技成长,41169014
588810,科创芯片ETF富国,科技成长,120052042
588800,科创100ETF华夏,科技成长,415159629
588790,科创AIETF博时,科技成长,633709807
588780,科创芯片设计ETF国联安,科技成长,344565791
588770,科创信息ETF摩根,科技成长,59058510
588760,科创人工智能ETF广发,科技成长,350843305
588750,科创芯片ETF汇添富,科技成长,530637783
588730,科创人工智能ETF易方达,科技成长,188702188
588710,科创半导体设备ETF华泰柏瑞,科技成长,509714699
588700,科创医药ETF嘉实,医药,41222722
588660,科创创业50ETF兴银,科技成长,5026321
588480,科创创业人工智能ETF中金,科技成长,24337530
588470,科创创业人工智能ETF华安,科技成长,74889928
588430,科创创业人工智能ETF工银,科技成长,19630532
588420,科创创业人工智能ETF摩根,科技成长,27019788
588410,科创创业人工智能ETF鹏华,科技成长,17488721
588400,科创创业ETF嘉实,科技成长,37729660
588390,科创创业ETF博时,科技成长,10998685
588380,科创创业ETF富国,科技成长,107034645
588360,科创创业ETF国泰,科技成长,38516702
588350,科创创业50ETF鹏扬,科技成长,5215487
588310,科创创业ETF方正富邦,科技成长,3439891
588300,科创创业50ETF招商,科技成长,119456109
588290,科创芯片ETF华安,科技成长,943561946
588270,科创200ETF易方达,科技成长,34025353
588260,科创信息ETF华安,科技成长,5735321
588250,科创医药ETF鹏华,医药,8324392
588240,科创200ETF鹏华,科技成长,57587465
588230,科创200ETF华泰柏瑞,科技成长,257084623
588220,科创100ETF鹏华,科技成长,1138696791
588210,科创100ETF易方达,科技成长,24647981
588200,科创芯片ETF嘉实,科技成长,6146167399
588190,科创100ETF银华,科技成长,166540197
588170,科创半导体ETF华夏,科技成长,3270231908
588160,科创新材料ETF南方,周期资源,37382251
588140,科创200ETF广发,科技成长,12647042
588130,科创医药ETF华夏,医药,12457192
588120,科创100ETF国泰,科技成长,142500967
588110,科创成长ETF广发,科技成长,36221832
588100,科创信息ETF嘉实,科技成长,25228589
588070,科创成长ETF万家,科技成长,5528145
588030,科创100ETF博时,科技成长,358520283
588020,科创成长ETF易方达,科技成长,252875394
588010,科创新材料ETF博时,周期资源,35089716
563870,通用航空ETF鹏华,军工,1568263
563670,金融科技ETF鹏华,金融,2609015
563570,金融科技ETF兴业,金融,19828281
563380,航空航天ETF华泰柏瑞,军工,64179920
563320,通用航空ETF华泰柏瑞,军工,25534181
562950,消费电子ETF易方达,消费,183984613
562930,软件ETF易方达,科技成长,52274476
562900,农业ETF易方达,消费,10116839
562870,证券ETF嘉实,金融,6753892
562600,医疗器械ETF华夏,医药,37555884
562590,半导体设备ETF华夏,科技成长,436057478
562580,可选消费ETF华夏,消费,6252969
562570,信创ETF华夏,科技成长,25097860
562560,信息技术ETF华夏,科技成长,1170646
562510,旅游ETF华夏,消费,54207144
562500,机器人ETF华夏,科技成长,1229072944
562390,中药ETF银华,医药,1014487
562360,机器人ETF银华,科技成长,37175609
562050,药ETF华宝,医药,10495868
562030,信创ETF华宝,科技成长,5093883
562010,绿色能源ETF华宝,周期资源,823150
561980,半导体设备ETF招商,科技成长,366798619
