date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top,scaling_factor,predicted_vol,defense_count
2025-01-10,995172.4043042338,995172.4043042338,0.0,0.4743918720721477,False,normal,-0.07538398347754466,4,沪深300;创业板;医药ETF;军工ETF,沪深300;创业板,医药ETF;军工ETF,0.4743918720721477,0.2107961916868414,2
2025-01-13,1005166.5613015643,1005166.5613015643,0.0,0.47995110440086,False,normal,-0.06609839879753905,5,沪深300;创业板;消费ETF;医药ETF;军工ETF,沪深300;创业板,消费ETF;医药ETF;军工ETF,0.47995110440086,0.20835455754359303,2
2025-01-14,1001098.9260128057,1001098.9260128057,0.0,0.49370085276946896,False,normal,-0.06987764420375354,5,沪深300;创业板;消费ETF;医药ETF;军工ETF,沪深300;创业板,消费ETF;医药ETF;军工ETF,0.49370085276946896,0.20255180731213865,2
2025-01-15,1017671.232059655,1017671.232059655,0.0,0.4846956408184953,False,normal,-0.05448029241289294,7,沪深300;创业板;消费ETF;医药ETF;证券ETF;科技ETF;军工ETF,沪深300;创业板,消费ETF;医药ETF;证券ETF;科技ETF;军工ETF,0.4846956408184953,0.20631503892036684,2
2025-01-16,1004385.4395820152,1004385.4395820152,0.0,0.4837732849358732,False,normal,-0.06682414003556471,6,沪深300;创业板;消费ETF;医药ETF;科技ETF;军工ETF,沪深300;创业板,消费ETF;医药ETF;科技ETF;军工ETF,0.4837732849358732,0.20670839650282788,2
2025-01-17,1040540.8181192342,1040540.8181192342,0.0,0.41488236336580775,False,normal,-0.03323212931023003,7,沪深300;创业板;消费ETF;医药ETF;证券ETF;科技ETF;军工ETF,沪深300;创业板,消费ETF;医药ETF;证券ETF;科技ETF;军工ETF,0.41488236336580775,0.24103217882951694,2
2025-01-20,1066268.8597706389,1066268.8597706389,0.0,0.4023059631179413,False,normal,-0.00932817128068922,7,沪深300;创业板;消费ETF;医药ETF;证券ETF;科技ETF;军工ETF,沪深300;创业板,消费ETF;医药ETF;证券ETF;科技ETF;军工ETF,0.4023059631179413,0.2485670339683324,2
2025-01-21,1055446.1173026054,1055446.1173026054,0.0,0.40599062920679213,False,normal,-0.019383595833621554,7,沪深300;创业板;消费ETF;医药ETF;证券ETF;科技ETF;军工ETF,沪深300;创业板,消费ETF;医药ETF;证券ETF;科技ETF;军工ETF,0.40599062920679213,0.24631110376950302,2
2025-01-22,1043894.8618065992,1043894.8618065992,0.0,0.40955752968810977,False,normal,-0.03011588281862649,6,沪深300;创业板;消费ETF;医药ETF;科技ETF;军工ETF,沪深300;创业板,消费ETF;医药ETF;科技ETF;军工ETF,0.40955752968810977,0.24416594190357818,2
2025-01-23,1057107.0112875593,1057107.0112875593,0.0,0.41620726708146777,False,normal,-0.017840457003010773,6,沪深300;创业板;消费ETF;医药ETF;科技ETF;军工ETF,沪深300;创业板,消费ETF;医药ETF;科技ETF;军工ETF,0.41620726708146777,0.24026490623583024,2
