date,nav
2022-03-17,2254782.901484819
2022-03-18,2258060.932973527
2022-03-21,2254685.0148228756
2022-03-22,2269360.1320763435
2022-03-23,2251162.986682043
2022-03-24,2277578.197738286
2022-03-25,2293427.3243720317
2022-03-28,2277200.8811202217
2022-03-29,2294207.8645076356
2022-03-30,2305302.494554029
2022-03-31,2295350.948518813
2022-04-01,2289664.1075724717
2022-04-06,2277553.339406315
2022-04-07,2256078.624054554
2022-04-08,2261362.1805511694
2022-04-11,2281322.2828717143
2022-04-12,2288201.0695745586
2022-04-13,2293803.1103162137
2022-04-14,2297073.3202543673
2022-04-15,2299863.4250001376
2022-04-18,2305234.415530331
2022-04-19,2296670.864269146
2022-04-20,2282407.8010032973
2022-04-21,2295029.327888528
2022-04-22,2283543.231384504
2022-04-25,2283543.231384504
2022-04-26,2283543.231384504
2022-04-27,2283543.231384504
2022-04-28,2283543.231384504
2022-04-29,2283543.231384504
2022-05-05,2283543.231384504
2022-05-06,2283543.231384504
2022-05-09,2283543.231384504
2022-05-10,2283543.231384504
2022-05-11,2283543.231384504
2022-05-12,2283543.231384504
2022-05-13,2283543.231384504
2022-05-16,2283543.231384504
2022-05-17,2283543.231384504
2022-05-18,2283543.231384504
2022-05-19,2283543.231384504
2022-05-20,2283543.231384504
2022-05-23,2283543.231384504
2022-05-24,2283543.231384504
2022-05-25,2283543.231384504
2022-05-26,2283543.231384504
2022-05-27,2283543.231384504
2022-05-30,2283543.231384504
2022-05-31,2283543.231384504
2022-06-01,2283543.231384504
2022-06-02,2283543.231384504
2022-06-06,2283543.231384504
2022-06-07,2283543.231384504
2022-06-08,2283543.231384504
2022-06-09,2283543.231384504
2022-06-10,2283543.231384504
2022-06-13,2283543.231384504
2022-06-14,2283543.231384504
2022-06-15,2283543.231384504
2022-06-16,2283543.231384504
2022-06-17,2283543.231384504
2022-06-20,2283543.231384504
2022-06-21,2283543.231384504
2022-06-22,2283543.231384504
2022-06-23,2283543.231384504
2022-06-24,2283543.231384504
2022-06-27,2283543.231384504
2022-06-28,2283543.231384504
2022-06-29,2283543.231384504
2022-06-30,2283543.231384504
2022-07-01,2283543.231384504
2022-07-04,2283543.231384504
2022-07-05,2283543.231384504
2022-07-06,2283543.231384504
2022-07-07,2283543.231384504
2022-07-08,2283543.231384504
2022-07-11,2283543.231384504
2022-07-12,2245313.288193684
2022-07-13,2265530.2583054877
2022-07-14,2295543.8071148186
2022-07-15,2255351.1924671168
2022-07-18,2273259.3859366453
2022-07-19,2252225.852184807
2022-07-20,2281574.6823075493
2022-07-21,2275277.207712619
2022-07-22,2275696.2300308156
2022-07-25,2260149.8985926
2022-07-26,2267204.0688226894
2022-07-27,2264047.9484970095
2022-07-28,2268636.158233357
2022-07-29,2261358.787078867
2022-08-01,2271981.547096796
2022-08-02,2251458.98970671
2022-08-03,2262758.1888658404
2022-08-04,2271490.58900147
2022-08-05,2283335.6218031496
2022-08-08,2284169.7164655183
2022-08-09,2288025.9964938513
2022-08-10,2267172.6372077754
2022-08-11,2313157.2505370537
2022-08-12,2295752.8689114028
2022-08-15,2321114.7077446547
2022-08-16,2335434.2048210977
2022-08-17,2345757.861352657
2022-08-18,2334871.905587232
2022-08-19,2325975.7869274523
2022-08-22,2305978.1181253237
2022-08-23,2283685.279768372
2022-08-24,2247861.7701998325
2022-08-25,2257918.251477193
2022-08-26,2254939.38838476
2022-08-29,2220986.211125069
2022-08-30,2225831.827636974
2022-08-31,2221640.7524676654
2022-09-01,2197806.732628003
2022-09-02,2200729.5576960486
2022-09-05,2202205.4775270144
2022-09-06,2215577.784629175
2022-09-07,2202505.027080064
2022-09-08,2214652.266411565
2022-09-09,2220163.32710737
2022-09-13,2241141.617294878
2022-09-14,2207789.0964031806
2022-09-15,2192890.9063905785
2022-09-16,2151111.689833859
2022-09-19,2152579.07609605
2022-09-20,2154418.988399412
2022-09-21,2153445.5489154556
2022-09-22,2148420.664357306
2022-09-23,2149865.47518294
2022-09-26,2149865.47518294
2022-09-27,2149865.47518294
2022-09-28,2149865.47518294
2022-09-29,2149865.47518294
2022-09-30,2149865.47518294
2022-10-10,2149865.47518294
2022-10-11,2149865.47518294
2022-10-12,2149865.47518294
2022-10-13,2149865.47518294
2022-10-14,2149865.47518294
2022-10-17,2149865.47518294
2022-10-18,2149865.47518294
2022-10-19,2149865.47518294
2022-10-20,2149865.47518294
2022-10-21,2149865.47518294
2022-10-24,2149865.47518294
2022-10-25,2149865.47518294
2022-10-26,2149865.47518294
2022-10-27,2149865.47518294
2022-10-28,2149865.47518294
2022-10-31,2149865.47518294
2022-11-01,2149865.47518294
2022-11-02,2149865.47518294
2022-11-03,2149865.47518294
2022-11-04,2149865.47518294
2022-11-07,2165689.931887756
2022-11-08,2169646.046063961
2022-11-09,2229552.917875052
2022-11-10,2218249.734514469
2022-11-11,2233509.0320512564
2022-11-14,2211467.8244981193
2022-11-15,2222771.0078587015
2022-11-16,2234639.3503873143
2022-11-17,2229281.1688674283
2022-11-18,2225229.547720801
2022-11-21,2220899.458670042
2022-11-22,2197743.9207003233
2022-11-23,2195810.1381040188
2022-11-24,2205570.197964707
2022-11-25,2202365.112151496
2022-11-28,2192237.018484167
2022-11-29,2186626.759565702
2022-11-30,2178938.641213516
2022-12-01,2211933.1940943613
2022-12-02,2209944.2220478035
