date,nav
2020-09-11,147766.92193135698
2020-09-14,147778.6494648436
2020-09-15,147790.37792908683
2020-09-16,147802.10732416058
2020-09-17,147813.83765013868
2020-09-18,147825.56890709506
2020-09-21,147837.30109510355
2020-09-22,147849.03421423808
2020-09-23,147860.76826457254
2020-09-24,147872.50324618086
2020-09-25,147884.23915913692
2020-09-28,147895.97600351463
2020-09-29,147907.71377938794
2020-09-30,147919.45248683076
2020-10-09,147931.19212591703
2020-10-12,147942.93269672067
2020-10-13,147954.67419931566
2020-10-14,147966.41663377592
2020-10-15,147978.16000017544
2020-10-16,147989.90429858817
2020-10-19,148001.64952908806
2020-10-20,148013.3956917491
2020-10-21,148025.14278664527
2020-10-22,148036.89081385056
2020-10-23,148048.63977343898
2020-10-26,148060.3896654845
2020-10-27,148072.1404900611
2020-10-28,148083.89224724285
2020-10-29,148095.64493710376
2020-10-30,148107.3985597178
2020-11-02,148119.15311515908
2020-11-03,148130.90860350156
2020-11-04,148142.66502481932
2020-11-05,148154.42237918638
2020-11-06,148166.18066667678
2020-11-09,148177.93988736463
2020-11-10,148189.70004132396
2020-11-11,148201.46112862884
2020-11-12,148213.22314935335
2020-11-13,148224.98610357154
2020-11-16,148236.74999135756
2020-11-17,148248.51481278546
2020-11-18,148260.28056792935
2020-11-19,148272.04725686333
2020-11-20,148283.81487966148
2020-11-23,148295.58343639798
2020-11-24,148307.35292714692
2020-11-25,148319.12335198242
2020-11-26,148330.8947109786
2020-11-27,148342.66700420965
2020-11-30,148354.44023174967
2020-12-01,148366.21439367282
2020-12-02,148377.98949005327
2020-12-03,148389.7655209652
2020-12-04,148401.54248648274
2020-12-07,148413.32038668008
2020-12-08,148425.09922163142
2020-12-09,148436.87899141092
2020-12-10,148448.6596960928
2020-12-11,148460.44133575124
2020-12-14,148472.22391046042
2020-12-15,148484.0074202946
2020-12-16,148495.79186532795
2020-12-17,148507.57724563472
2020-12-18,148519.36356128915
2020-12-21,148531.15081236546
2020-12-22,148542.93899893787
2020-12-23,148554.72812108064
2020-12-24,148566.51817886802
2020-12-25,148578.30917237428
2020-12-28,148590.10110167367
2020-12-29,148601.8939668405
2020-12-30,148613.68776794898
2020-12-31,148625.48250507342
2021-01-04,148637.2781782881
2021-01-05,148649.07478766734
2021-01-06,148660.87233328543
2021-01-07,148672.67081521664
2021-01-08,148684.4702335353
2021-01-11,148696.27058831576
2021-01-12,148708.0718796323
2021-01-13,148719.87410755927
2021-01-14,148731.677272171
2021-01-15,148743.4813735418
2021-01-18,148755.28641174606
2021-01-19,148767.0923868581
2021-01-20,148778.8992989523
2021-01-21,148790.707148103
2021-01-22,148802.5159343846
2021-01-25,148814.32565787146
2021-01-26,148826.13631863796
2021-01-27,148837.94791675848
2021-01-28,148849.76045230744
2021-01-29,148861.5739253592
2021-02-01,148873.38833598822
2021-02-02,148885.20368426887
2021-02-03,148897.01997027555
2021-02-04,148908.83719408273
2021-02-05,148920.65535576481
2021-02-08,148932.47445539624
2021-02-09,148944.29449305142
2021-02-10,148956.11546880484
2021-02-18,148967.93738273095
2021-02-19,148979.76023490418
2021-02-22,148991.58402539903
2021-02-23,149003.40875428994
2021-02-24,149015.2344216514
2021-02-25,149027.06102755788
2021-02-26,149038.88857208387
2021-03-01,149050.7170553039
2021-03-02,149062.5464772924
2021-03-03,149074.37683812395
2021-03-04,149086.208137873
2021-03-05,149098.0403766141
2021-03-08,149109.8735544218
2021-03-09,149121.70767137056
2021-03-10,149133.54272753495
2021-03-11,149145.37872298952
2021-03-12,149157.21565780882
2021-03-15,149169.0535320674
2021-03-16,149180.8923458398
2021-03-17,149192.73209920057
2021-03-18,149204.57279222432
2021-03-19,149216.41442498562
2021-03-22,149228.25699755904
2021-03-23,149240.10051001917
2021-03-24,149251.9449624406
2021-03-25,149251.9449624406
2021-03-26,149263.79035489797
2021-03-29,149263.79035489797
2021-03-30,149275.63668746583
2021-03-31,149287.48396021881
2021-04-01,149299.33217323152
2021-04-02,149311.1813265786
2021-04-06,149323.03142033468
2021-04-07,149334.8824545744
2021-04-08,149346.7344293724
2021-04-09,149358.5873448033
2021-04-12,149370.44120094177
2021-04-13,149382.2959978625
2021-04-14,149394.1517356401
2021-04-15,149406.0084143493
2021-04-16,149417.8660340647
2021-04-19,149429.72459486107
2021-04-20,149441.58409681305
2021-04-21,149453.44453999534
2021-04-22,149465.30592448264
2021-04-23,149477.16825034967
2021-04-26,149489.03151767113
2021-04-27,149500.89572652173
2021-04-28,149512.76087697622
2021-04-29,149524.62696910932
2021-04-30,149536.49400299575
2021-05-06,149548.36197871028
2021-05-07,149560.23089632764
2021-05-10,149572.10075592258
2021-05-11,149583.9715575699
2021-05-12,149595.8433013443
2021-05-13,149607.7159873206
2021-05-14,149619.58961557358
2021-05-17,149631.464186178
2021-05-18,149643.33969920865
2021-05-19,149655.21615474034
2021-05-20,149667.09355284786
2021-05-21,149678.97189360604
2021-05-24,149690.85117708967
2021-05-25,149702.7314033736
2021-05-26,149714.61257253258
2021-05-27,149726.4946846415
2021-05-28,149738.37773977523
2021-05-31,149750.26173800856
2021-06-01,149762.14667941636
2021-06-02,149774.03256407345
2021-06-03,149785.91939205473
2021-06-04,149797.80716343506
2021-06-07,149809.69587828932
2021-06-08,149821.58553669238
2021-06-09,149833.4761387191
2021-06-10,149845.36768444438
2021-06-11,149857.26017394316
2021-06-15,149869.1536072903
2021-06-16,149881.04798456072
2021-06-17,149892.94330582934
2021-06-18,149904.83957117106
2021-06-21,149916.73678066084
2021-06-22,149928.6349343736
2021-06-23,149940.53403238428
2021-06-24,149952.4340747678
2021-06-25,149964.33506159915
2021-06-28,149976.23699295326
2021-06-29,149988.1398689051
2021-06-30,150000.04368952962
2021-07-01,150011.9484549018
2021-07-02,150023.85416509665
2021-07-05,150035.7608201891
2021-07-06,150047.66842025422
2021-07-07,150059.57696536696
2021-07-08,150071.4864556023
2021-07-09,150083.3968910353
2021-07-12,150095.30827174097
2021-07-13,150107.22059779428
2021-07-14,150119.1338692703
2021-07-15,150131.04808624406
2021-07-16,150142.9632487906
2021-07-19,150154.87935698495
2021-07-20,150166.79641090217
2021-07-21,150178.71441061734
2021-07-22,150190.63335620548
2021-07-23,150202.5532477417
2021-07-26,150214.47408530104
2021-07-27,150226.3958689586
2021-07-28,150238.31859878948
2021-07-29,150250.24227486877
2021-07-30,150262.16689727156
2021-08-02,150274.09246607294
2021-08-03,150286.01898134802
2021-08-04,150297.94644317194
2021-08-05,150309.87485161982
2021-08-06,150321.8042067668
2021-08-09,150333.73450868798
2021-08-10,150345.6657574585
2021-08-11,150357.59795315354
2021-08-12,150369.53109584824
2021-08-13,150381.46518561777
2021-08-16,150393.40022253725
2021-08-17,150405.3362066819
2021-08-18,150417.27313812688
2021-08-19,150429.21101694737
2021-08-20,150441.14984321856
2021-08-23,150453.08961701565
2021-08-24,150465.03033841384
2021-08-25,150476.97200748834
2021-08-26,150488.91462431435
2021-08-27,150500.85818896707
2021-08-30,150512.80270152175
2021-08-31,150524.7481620536
2021-09-01,150536.69457063792
2021-09-02,150548.64192734988
2021-09-03,150560.59023226475
2021-09-06,150572.5394854578
2021-09-07,150584.48968700427
2021-09-08,150596.44083697943
2021-09-09,150608.39293545857
2021-09-10,150620.34598251694
2021-09-13,150632.29997822986
2021-09-14,150644.25492267258
2021-09-15,150656.2108159204
2021-09-16,150668.16765804865
2021-09-17,150680.12544913264
2021-09-22,150692.08418924766
2021-09-23,150704.04387846903
2021-09-24,150716.00451687208
2021-09-27,150727.96610453216
2021-09-28,150739.92864152457
2021-09-29,150751.89212792472
2021-09-30,150763.8565638079
2021-10-08,150775.82194924948
2021-10-11,150787.78828432484
2021-10-12,150799.75556910931
2021-10-13,150811.7238036783
2021-10-14,150823.69298810716
2021-10-15,150835.6631224713
2021-10-18,150847.63420684612
2021-10-19,150859.606241307
2021-10-20,150871.5792259293
2021-10-21,150883.55316078852
2021-10-22,150895.52804596003
2021-10-25,150907.50388151925
2021-10-26,150919.4806675416
2021-10-27,150931.4584041025
2021-10-28,150943.43709127745
2021-10-29,150955.41672914184
2021-11-01,150967.39731777116
2021-11-02,150979.37885724084
2021-11-03,150991.36134762634
2021-11-04,151003.34478900314
2021-11-05,151015.32918144672
2021-11-08,151027.31452503256
2021-11-09,151039.30081983615
2021-11-10,151051.28806593298
2021-11-11,151063.27626339853
2021-11-12,151075.26541230833
2021-11-15,151087.2555127379
2021-11-16,151099.24656476273
2021-11-17,151111.23856845836
2021-11-18,151123.2315239003
2021-11-19,151135.22543116412
2021-11-22,151147.22029032532
2021-11-23,151159.2161014595
2021-11-24,151171.21286464215
2021-11-25,151183.21057994888
2021-11-26,151195.20924745523
2021-11-29,151207.2088672368
2021-11-30,151219.20943936912
2021-12-01,151231.21096392782
2021-12-02,151243.21344098845
2021-12-03,151255.21687062664
2021-12-06,151267.22125291795
2021-12-07,151279.22658793803
2021-12-08,151291.23287576248
2021-12-09,151303.2401164669
2021-12-10,151315.24831012695
2021-12-13,151327.25745681825
2021-12-14,151339.26755661643
2021-12-15,151351.27860959712
2021-12-16,151363.29061583598
2021-12-17,151375.30357540867
2021-12-20,151387.31748839087
2021-12-21,151399.3323548582
2021-12-22,151411.34817488637
2021-12-23,151423.36494855105
2021-12-24,151435.38267592792
2021-12-27,151447.4013570927
2021-12-28,151459.42099212104
2021-12-29,151471.44158108867
2021-12-30,151483.4631240713
2021-12-31,151495.48562114465
2022-01-04,151507.50907238442
2022-01-05,151519.53347786635
2022-01-06,151531.55883766618
2022-01-07,151543.58515185965
2022-01-10,151555.6124205225
2022-01-11,151567.64064373047
2022-01-12,151579.66982155934
2022-01-13,151591.69995408485
2022-01-14,151603.7310413828
2022-01-17,151615.76308352893
2022-01-18,151627.79608059907
2022-01-19,151639.83003266898
2022-01-20,151651.86493981443
2022-01-21,151663.90080211125
2022-01-24,151675.93761963522
2022-01-25,151687.9753924622
2022-01-26,151700.01412066794
2022-01-27,151712.05380432832
2022-01-28,151724.09444351913
2022-02-07,151736.13603831624
2022-02-08,151748.17858879548
2022-02-09,151760.2220950327
2022-02-10,151772.26655710372
2022-02-11,151784.31197508445
2022-02-14,151796.35834905074
2022-02-15,151808.40567907845
2022-02-16,151820.45396524348
2022-02-17,151832.5032076217
2022-02-18,151844.55340628896
2022-02-21,151856.6045613212
2022-02-22,151868.65667279434
2022-02-23,151880.70974078425
2022-02-24,151892.76376536686
2022-02-25,151904.81874661808
2022-02-28,151916.87468461384
2022-03-01,151928.9315794301
2022-03-02,151940.98943114275
2022-03-03,151953.04823982777
2022-03-04,151965.10800556108
2022-03-07,151977.16872841868
2022-03-08,151989.2304084765
2022-03-09,152001.2930458105
2022-03-10,152013.3566404967
2022-03-11,152025.42119261104
2022-03-14,152037.4867022295
2022-03-15,152049.5531694281
2022-03-16,152061.62059428284
2022-03-17,152073.6889768697
2022-03-18,152085.75831726467
2022-03-21,152097.8286155438
2022-03-22,152109.89987178316
2022-03-23,152121.9720860587
2022-03-24,152134.04525844648
2022-03-25,152146.11938902255
2022-03-28,152158.19447786297
2022-03-29,152170.27052504377
2022-03-30,152182.347530641
2022-03-31,152194.42549473076
2022-04-01,152206.50441738908
2022-04-06,152218.58429869206
2022-04-07,152230.66513871576
2022-04-08,152242.7469375363
2022-04-11,152254.82969522977
2022-04-12,152266.91341187226
2022-04-13,152278.99808753986
2022-04-14,152291.08372230871
2022-04-15,152303.17031625492
2022-04-18,152315.25786945462
2022-04-19,152327.34638198395
2022-04-20,152339.43585391904
2022-04-21,152351.52628533603
2022-04-22,152363.61767631106
2022-04-25,152375.7100269203
2022-04-26,152387.80333723992
2022-04-27,152399.89760734607
2022-04-28,152411.9928373149
2022-04-29,152424.08902722262
2022-05-05,152436.18617714543
2022-05-06,152448.2842871595
2022-05-09,152460.38335734102
2022-05-10,152472.4833877662
2022-05-11,152484.58437851127
2022-05-12,152496.68632965244
2022-05-13,152508.7892412659
2022-05-16,152520.8931134279
2022-05-17,152532.9979462147
2022-05-18,152545.1037397025
2022-05-19,152557.21049396755
2022-05-20,152569.31820908614
2022-05-23,152581.42688513448
2022-05-24,152593.53652218886
2022-05-25,152605.64712032556
2022-05-26,152617.75867962083
2022-05-27,152629.87120015096
2022-05-30,152641.98468199224
2022-05-31,152654.09912522096
2022-06-01,152666.21452991344
2022-06-02,152678.33089614598
2022-06-06,152690.4482239949
2022-06-07,152702.5665135365
2022-06-08,152714.6857648471
2022-06-09,152726.80597800305
2022-06-10,152738.92715308067
2022-06-13,152751.0492901563
2022-06-14,152763.17238930633
2022-06-15,152775.29645060707
2022-06-16,152787.4214741349
2022-06-17,152799.54745996618
2022-06-20,152811.6744081773
2022-06-21,152823.80231884462
2022-06-22,152835.93119204455
2022-06-23,152848.06102785346
2022-06-24,152860.19182634773
2022-06-27,152872.32358760378
2022-06-28,152884.45631169804
2022-06-29,152896.5899987069
2022-06-30,152908.72464870682
2022-07-01,152920.86026177419
2022-07-04,152932.99683798544
2022-07-05,152945.13437741704
2022-07-06,152957.2728801454
2022-07-07,152969.412346247
2022-07-08,152981.5527757983
2022-07-11,152993.69416887575
2022-07-12,153005.83652555582
2022-07-13,153017.979845915
2022-07-14,153030.12413002976
2022-07-15,153042.2693779766
2022-07-18,153054.415589832
2022-07-19,153066.56276567248
2022-07-20,153078.71090557452
2022-07-21,153090.86000961467
2022-07-22,153103.0100778694
2022-07-25,153115.16111041527
2022-07-26,153127.3131073288
2022-07-27,153139.46606868654
2022-07-28,153151.619994565
2022-07-29,153163.77488504077
2022-08-01,153175.93074019038
2022-08-02,153188.0875600904
2022-08-03,153200.2453448174
2022-08-04,153212.40409444796
2022-08-05,153224.56380905863
2022-08-08,153236.72448872603
2022-08-09,153248.88613352674
2022-08-10,153261.04874353734
2022-08-11,153273.21231883444
2022-08-12,153285.37685949466
2022-08-15,153297.54236559462
2022-08-16,153309.70883721096
2022-08-17,153321.87627442027
2022-08-18,153334.04467729919
2022-08-19,153346.21404592437
2022-08-22,153358.38438037247
2022-08-23,153370.55568072014
2022-08-24,153382.727947044
2022-08-25,153394.90117942076
2022-08-26,153407.07537792707
2022-08-29,153419.2505426396
2022-08-30,153431.42667363505
2022-08-31,153443.6037709901
2022-09-01,153455.78183478146
2022-09-02,153467.96086508583
2022-09-05,153480.1408619799
