触发日期,scaling_factor,predicted_vol,active_count,熔断触发
2014-06-23,1.2599,0.0794,4,False
2014-06-24,1.297,0.0771,4,False
2014-06-26,1.2761,0.0784,5,False
2014-06-27,1.3161,0.076,5,False
2014-06-30,1.3477,0.0742,5,False
2014-07-01,1.3884,0.072,5,False
2014-07-02,1.4126,0.0708,5,False
2014-07-03,1.4553,0.0687,5,False
2014-07-04,1.5009,0.0666,5,False
2014-07-07,1.4839,0.0674,5,False
2014-07-08,1.5267,0.0655,5,False
2014-07-09,1.3098,0.0763,5,False
2014-07-11,1.3776,0.0726,5,False
2014-07-14,1.4103,0.0709,5,False
2014-07-15,1.404,0.0712,5,False
2014-07-18,1.19,0.084,4,False
2014-07-21,1.7953,0.0557,3,True
2014-07-22,1.2179,0.0821,4,True
2014-07-23,1.9052,0.0525,3,True
2014-07-24,1.7554,0.057,3,True
2014-07-25,1.8102,0.0552,3,True
2014-07-28,1.5937,0.0627,3,True
2014-07-30,1.6187,0.0618,3,False
2014-07-31,1.6359,0.0611,3,False
2014-08-01,1.2867,0.0777,3,False
2014-08-04,1.2257,0.0816,3,False
2014-08-05,1.2536,0.0798,3,False
2014-08-06,1.3107,0.0763,5,False
2014-08-07,1.764,0.0567,4,False
2014-08-08,1.324,0.0755,3,False
2014-08-11,1.3649,0.0733,5,False
2014-08-13,1.4249,0.0702,5,False
2014-08-14,1.2023,0.0832,4,False
2014-08-15,1.1827,0.0846,4,False
2014-08-22,1.2985,0.077,4,False
2014-08-25,1.262,0.0792,4,False
2014-08-26,1.7035,0.0587,3,False
2014-08-27,1.7534,0.057,3,False
2014-08-28,1.75,0.0571,3,False
2014-08-29,1.2639,0.0791,4,False
2014-09-01,1.2498,0.08,4,True
2014-09-02,1.2279,0.0814,4,True
2014-09-03,1.2552,0.0797,4,True
2014-09-04,1.2946,0.0772,4,True
2014-09-05,1.3347,0.0749,4,True
2014-09-09,1.374,0.0728,4,True
2014-09-10,1.3912,0.0719,4,True
2014-09-11,1.4258,0.0701,4,True
2014-09-12,1.4594,0.0685,4,True
2014-09-15,1.485,0.0673,4,True
2014-10-08,1.1932,0.0838,4,True
2014-10-09,1.2137,0.0824,4,True
2014-10-10,1.1856,0.0843,4,True
2014-10-31,1.1777,0.0849,4,False
2014-11-03,1.198,0.0835,4,False
2014-11-04,1.2186,0.0821,4,False
2014-11-06,1.2871,0.0777,4,False
2014-11-07,1.3233,0.0756,4,False
2014-11-10,1.2998,0.0769,4,False
2014-11-11,1.391,0.0719,3,False
2014-11-12,1.4186,0.0705,3,False
2014-11-13,1.429,0.07,3,False
2014-11-14,1.4692,0.0681,3,False
2014-11-17,1.4892,0.0672,3,False
2014-11-18,1.2045,0.083,4,False
2014-11-19,1.2095,0.0827,4,False
2014-11-20,1.5523,0.0644,3,False
2014-11-21,1.1848,0.0844,4,False
2014-11-28,1.1841,0.0845,4,False
2014-12-01,1.1822,0.0846,4,False
2014-12-09,0.7044,0.142,3,False
2014-12-10,0.5183,0.1929,4,False
2014-12-11,0.4281,0.2336,3,False
2014-12-12,0.4411,0.2267,3,False
2014-12-15,0.6063,0.1649,4,False
2014-12-16,0.6252,0.16,4,False
2014-12-17,0.6448,0.1551,4,False
2014-12-18,0.6649,0.1504,4,False
2014-12-19,0.6842,0.1461,4,False
2014-12-22,0.7353,0.136,3,False
2014-12-23,0.7357,0.1359,3,False
2014-12-24,0.7152,0.1398,3,False
2014-12-25,0.7631,0.131,5,False
2014-12-26,0.8374,0.1194,4,False
2014-12-29,0.6342,0.1577,3,False
2014-12-30,0.6464,0.1547,3,False
2014-12-31,0.6555,0.1526,3,False
2015-01-05,0.6756,0.148,3,False
2015-01-06,0.5006,0.1998,3,False
2015-01-07,0.5096,0.1962,3,False
2015-01-08,0.6879,0.1454,4,False
