date,国债ETF,纳指,创业板,黄金,沪深300
2020-05-12,351170.73637522594,351170.73637522594,351170.73637522594,351170.73637522594,
2020-05-13,283992.0995061731,283992.0995061731,283992.0995061731,283992.0995061731,283992.0995061731
2020-05-14,283962.8855347408,283962.8855347408,283962.8855347408,283962.8855347408,283962.8855347408
2020-05-15,288382.83751207945,288382.83751207945,288382.83751207945,288382.83751207945,288382.83751207945
2020-05-18,292647.5649702667,292647.5649702667,292647.5649702667,292647.5649702667,292647.5649702667
2020-05-19,297373.0860483443,297373.0860483443,297373.0860483443,297373.0860483443,297373.0860483443
2020-05-20,299305.1244535313,299305.1244535313,299305.1244535313,299305.1244535313,299305.1244535313
2020-05-21,298931.8864719456,298931.8864719456,298931.8864719456,298931.8864719456,298931.8864719456
2020-05-22,283820.7756245725,283820.7756245725,283820.7756245725,283820.7756245725,283820.7756245725
2020-05-25,287604.64233918674,287604.64233918674,287604.64233918674,287604.64233918674,287604.64233918674
2020-05-26,287569.24102786486,287569.24102786486,287569.24102786486,287569.24102786486,287569.24102786486
2020-05-27,284232.5441121769,284232.5441121769,284232.5441121769,284232.5441121769,284232.5441121769
2020-05-28,287850.6914328733,287850.6914328733,287850.6914328733,287850.6914328733,287850.6914328733
2020-05-29,292064.30422223103,292064.30422223103,292064.30422223103,292064.30422223103,292064.30422223103
2020-06-01,290156.8349655026,290156.8349655026,290156.8349655026,290156.8349655026,290156.8349655026
2020-06-02,,332508.4278660771,332508.4278660771,332508.4278660771,332508.4278660771
2020-06-03,,335830.06785989343,335830.06785989343,335830.06785989343,335830.06785989343
2020-06-04,,340047.74339023576,340047.74339023576,340047.74339023576,340047.74339023576
2020-06-05,,344886.37632848165,344886.37632848165,344886.37632848165,344886.37632848165
2020-06-08,,347640.14001395396,347640.14001395396,347640.14001395396,347640.14001395396
2020-06-09,,352860.6400708873,352860.6400708873,352860.6400708873,352860.6400708873
2020-06-10,,358218.36632914894,358218.36632914894,358218.36632914894,358218.36632914894
2020-06-11,,362328.9199261859,362328.9199261859,362328.9199261859,362328.9199261859
2020-06-12,,366334.1989318233,366334.1989318233,366334.1989318233,366334.1989318233
2020-06-15,,362757.2195995842,362757.2195995842,362757.2195995842,362757.2195995842
2020-06-16,,357618.1742090685,357618.1742090685,357618.1742090685,357618.1742090685
2020-06-17,,362725.17856557574,362725.17856557574,362725.17856557574,362725.17856557574
2020-06-18,,367451.9853467178,367451.9853467178,367451.9853467178,367451.9853467178
2020-06-19,,372025.6219862531,372025.6219862531,372025.6219862531,372025.6219862531
2020-06-22,,378130.67956853134,378130.67956853134,378130.67956853134,378130.67956853134
2020-06-23,,383843.03695594496,383843.036955945,383843.03695594496,383843.03695594496
2020-06-24,,390405.0073683747,390405.0073683747,390405.0073683747,390405.0073683747
2020-06-29,,383941.3668811628,383941.3668811628,383941.3668811628,383941.3668811628
2020-06-30,,387544.4645044268,387544.46450442687,387544.46450442687,387544.46450442687
2020-07-01,,394068.17889252305,394068.1788925231,394068.1788925231,394068.1788925231
2020-07-02,,400995.49738812726,400995.4973881272,400995.49738812726,400995.49738812726
2020-07-03,,406995.75004205655,406995.7500420566,406995.7500420566,406995.7500420566
2020-07-06,,386610.68187503796,386610.68187503796,386610.68187503796,386610.68187503796
2020-07-07,,392935.31092833134,392935.31092833134,392935.31092833134,392935.31092833134
2020-07-08,,399719.37976778636,399719.37976778636,399719.37976778636,399719.37976778636
2020-07-09,,402713.1558076482,402713.1558076482,402713.1558076482,402713.1558076482
2020-07-10,,399461.83139547566,399461.8313954756,399461.8313954756,399461.8313954756
2020-07-13,,396636.49262940534,396636.49262940534,396636.49262940534,396636.4926294053
2020-07-14,,387513.7422995464,387513.7422995464,387513.7422995464,387513.7422995464
2020-07-15,,384490.63529988285,384490.63529988285,384490.63529988285,384490.63529988285
2020-07-16,,339824.82036358083,339824.82036358083,339824.82036358083,339824.82036358083
2020-07-17,,344640.1030358479,344640.1030358479,344640.1030358479,344640.1030358479
2020-07-20,,349699.2022079628,349699.2022079628,349699.2022079628,349699.2022079628
2020-07-21,,354406.9453706547,354406.9453706547,354406.9453706547,354406.94537065463
2020-07-22,,359945.7776000185,359945.7776000184,359945.7776000185,359945.7776000185
2020-07-23,,364785.5699397581,364785.5699397581,364785.5699397581,364785.5699397581
2020-07-24,,333317.0372083437,333317.0372083437,333317.0372083437,333317.0372083437
2020-07-27,,337900.9705351352,337900.9705351352,337900.9705351352,337900.9705351352
2020-07-28,,342535.0845235633,342535.0845235633,342535.0845235633,342535.0845235633
2020-07-29,,346607.41217480524,346607.41217480524,346607.41217480524,346607.41217480524
2020-07-30,,346558.6680599318,346558.6680599318,346558.6680599318,346558.6680599318
2020-07-31,,351339.3831106977,351339.3831106977,351339.3831106977,351339.38311069773
2020-08-03,,356650.20572175796,356650.20572175796,356650.20572175796,356650.20572175796
2020-08-04,,360383.2642230015,360383.2642230015,360383.2642230015,360383.2642230015
2020-08-05,,365949.54279280046,365949.54279280046,365949.54279280046,365949.54279280046
2020-08-06,,367468.48102612107,367468.48102612107,367468.48102612107,367468.48102612107
2020-08-07,,368923.8529171681,368923.8529171681,368923.8529171681,368923.8529171681
2020-08-10,,371146.4467362823,371146.44673628226,371146.4467362823,371146.4467362823
2020-08-11,,365605.7802774603,365605.7802774603,365605.7802774603,365605.7802774603
2020-08-12,,347919.99561875756,347919.99561875756,347919.99561875756,347919.99561875756
2020-08-13,,352387.7379995782,352387.7379995782,352387.7379995782,352387.7379995782
2020-08-14,,356638.8402193156,356638.8402193156,356638.8402193156,356638.8402193156
2020-08-17,,361210.9443293359,361210.9443293359,361210.9443293359,361210.9443293359
2020-08-18,,366222.1868909375,366222.1868909375,366222.1868909375,366222.1868909375
2020-08-19,,362215.60821080446,362215.60821080446,362215.60821080446,362215.60821080446
2020-08-20,,359736.8568446464,359736.8568446464,359736.8568446464,359736.8568446464
2020-08-21,,363233.9378820283,363233.9378820283,363233.9378820283,363233.9378820283
2020-08-24,,366502.7659110397,366502.7659110398,366502.7659110397,366502.7659110397
2020-08-25,,370889.77636231267,370889.77636231267,370889.77636231267,370889.77636231267
2020-08-26,,363788.47705432423,363788.47705432423,363788.47705432423,363788.4770543243
2020-08-27,,365192.4153030614,365192.4153030614,365192.4153030614,365192.4153030614
2020-08-28,,369072.27397711814,369072.27397711814,369072.27397711814,369072.27397711814
2020-08-31,,374884.5408420239,374884.54084202397,374884.5408420239,374884.5408420239
2020-09-01,,379739.35731576744,379739.35731576744,379739.35731576744,379739.35731576744
2020-09-02,,385835.1478564864,385835.1478564863,385835.1478564864,385835.1478564864
